acc,center_name,biosample,organism,bioproject,geo_loc_name_country_calc,geo_loc_name_country_continent_calc,geo_loc_name_sam,attr_bases,attr_bytes,attr_run_file_create_date,attr_collection_date_sam,attr_ena_first_public_sam,attr_ena_last_update_sam,attr_external_id_sam,attr_geographic_location__country_and_or_sea__sam,attr_host_health_state_sam,attr_host_scientific_name_sam,attr_insdc_center_name_sam,attr_insdc_first_public_sam,attr_insdc_last_update_sam,attr_insdc_status_sam,attr_isolate_sam_ss_dpl100,attr_isolation_source_sam,attr_scientific_name_sam,attr_sub_species_sam,attr_submitter_id_sam,attr_organism_sam,attr_collected_by_sam,attr_food_origin_sam,attr_host_sam,attr_ifsac__category_sam,attr_isolate_name_alias_sam,attr_lat_lon_sam_s_dpl34,attr_ontological_term_sam,attr_project_name_sam,attr_sequenced_by_sam,attr_source_type_sam,attr_strain_sam_ss_dpl139,attr_attribute_package_sam,attr_host_disease_sam,attr_serovar_sam,attr_assemblyname,attr_arrayexpress_species_sam,attr_common_name_sam,attr_subject_id_sam_s_dpl1092,attr_alias_sam,attr_ena_checklist_sam_s_dpl67,attr_environmental_sample_sam,attr_geographic_location__latitude__sam,attr_geographic_location__longitude__sam,attr_insdc_center_alias_sam,attr_is_the_sequenced_pathogen_host_associated__sam,attr_sra_accession_sam,attr_title_sam,attr_ena_last_update_sam_ss_dpl537,attr_isolation_source_host_associated_sam_s_dpl264,attr_broker_name_sam,attr_isolation_source_non_host_associated_sam,attr_host_associated_sam,attr_country_sam,attr_isolation_date_sam,attr_lab_id_sam,attr_region_sam,attr_resistance_profile_sam,attr_sample_source_sam,attr_continent_sam,attr_source_name_sam,attr_year_sam_s_dpl152,attr_mlst_sam,attr_source_sam,attr_source_site_sam,attr_strain_name_sam,attr_geographic_location_sam_s_dpl93,attr_geographic_location__region_and_locality__sam,attr_antibiotic_exposure_sam,attr_passaging_sam,attr_variant_sam,attr_experimental_factor__immunoprecipitate_exp,attr_experimental_factor__phenotype_exp,attr_genotype_sam_ss_dpl92,attr_growth_condition_sam,attr_organism_part_sam,attr_phenotype_sam,attr_bio_material_sam,attr_instrument_sam,attr_ena_status_id_exp,attr_ena_status_id_run,attr_fda_lab_id_sam,attr_subspecies_sam,attr_genus_sam,attr_projectaccession_sam,attr_publicaccession_sam,attr_species_sam,attr_pfge_primaryenzyme_pattern_sam,attr_isolate_name_sam,attr_env_local_scale_sam,attr_purpose_of_sampling_sam,attr_strain_original_sam,attr_lexmapr_version_sam,attr_outbreak_sam,attr_pfge_secondaryenzyme_pattern_sam,attr_narms_id_sam,attr_narms_isolate_number_sam,attr_package_sam,attr_collection_date_run,attr_host_age_sam,attr_host_sex_sam,attr_culture_collection_sam_ss_dpl468,attr_hhs_region_sam,attr_geo_location_sam,attr_serotype_sam,attr_organisation_name_sam,attr_spuid_namespace_sam,attr_subgroup_sam,attr_potential_contaminant_sam,attr_sequence_type_sam_ss_dpl2,attr_description_sam,attr_intended_consumer_sam,attr_subtype_sam,attr_contact_info_sam,attr_env_broad_scale_sam,attr_env_medium_sam,attr_isol_growth_condt_sam,attr_propagation_sam,attr_host_tissue_sampled_sam_s_dpl239,attr_accession_sam,attr_submitted_serotype_sam,attr_sequence_funding_program_name_sam,attr_sample_type_sam_ss_dpl131,attr_treatment_sam_ss_dpl55,attr_num_replicons_sam,attr_ref_biomaterial_sam,attr_isolation_source_host_associated_sam_s_dpl263,attr_platform_model_sam,attr_sample_number_sam_s_dpl45,attr_biomaterial_provider_sam,attr_antigenform_sam,attr_sourcetype_sam,attr_replicate_sam_ss_dpl121,attr_tax_id_sam_ss_dpl29,attr_experimental_specimen_type_sam,attr_specimen_source_id_sam,attr_passage_history_sam_s_dpl312,attr_pathotype_sam,attr_specimen_voucher_sam,attr_receipt_date_sam,CLASSIFICATION,CONFIDENCE,REASONING,CATEGORY_NUMBER,CORRECT_CLASSIFICATION
ERR3604690,YANGZHOU UNIVERSITY,SAMEA6101003,Salmonella enterica subsp. enterica,PRJEB34962,China,Asia,,2759909700,940616038,2019-12-18T13:34:00.000Z,2018,2019-12-17T04:03:14Z,2019-10-18T17:05:00Z,SAMEA6101003,China,not provided,chicken,YANGZHOU UNIVERSITY,2019-12-17T04:03:14Z,2019-10-18T17:05:00Z,public,chicken,chicken,Salmonella enterica subsp. enterica,enterica,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poultry,High,"The isolation source, host, and sample type are all listed as 'chicken,' which is a poultry species. There is no indication of clinical, food, or environmental context, and the sample is not from a wild or companion animal. Therefore, the most appropriate category is 'Poultry.'",10,Poultry
ERR11412654,"DEPARTMENT OF CLINICAL SCIENCE, UNIVERSITY OF BERG",SAMEA112364911,Salmonella enterica subsp. enterica serovar Typhi,PRJEB59168,Tanzania,Africa,,221360818,152222210,2023-09-19T11:27:00.000Z,03/06/2015,05/07/2023,2023-07-05T20:23:13Z,,Tanzania,diseased,Homo sapiens,,,,,43M44,Homo sapiens,Salmonella enterica subsp. enterica serovar Typhi,,,Salmonella enterica subsp. enterica serovar Typhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from a diseased human (Homo sapiens) and the isolation source is explicitly listed as Homo sapiens. The context is clinical, supported by the involvement of a clinical science department and the host health state being 'diseased.'",1,Clinical
SRR17614904,NC_THAKUR_LAB_GT,SAMN24966713,Salmonella enterica,PRJNA293224,USA,North America,USA: NC,572155585,353076175,2022-01-14T04:03:00.000Z,15/11/2013,,,,,,,,,,,,tahini,,,,,North Carolina State University|College of Veterinary Medicine|Cray/Jacob Lab,Lebanon: Mount Lebanon,Gallus gallus,grains,GMSAL120,not collected,sesame seed paste:FOODON_03304154,GenomeTrakr; LFFM-FY1,North Carolina State University|College of Veterinary Medicine|Thakur Molecular Epidemiology Laboratory,food,GMSAL120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food,High,"The isolation source is explicitly listed as 'tahini' (a food product made from sesame seeds), with additional confirmation from the ontological term (sesame seed paste:FOODON_03304154), the IFSAC category (grains), and the source type marked as 'food'. There is no indication that the sample was taken from a clinical, animal, or environmental context.",3,ND
SRR15003921,NC_THAKUR_LAB_GT,SAMN19731373,Salmonella enterica,PRJNA293224,USA,North America,USA:NC,405332221,229555624,2021-06-30T18:43:00.000Z,13/06/2019,,,,,,,,,,,,soil,,,,,North Carolina State University | College of Veterinary Medicine | Cray Laboratory,,,environmental,missing,missing,soil:envo_00001998,GenomeTrakr,North Carolina State University | College of Veterinary Medicine | Thakur Molecular Epidemiology Laboratory,environmental,USSAL250,environmental/food/other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,High,"The isolation source is explicitly stated as 'soil', and multiple metadata fields (attr_ifsac__category_sam, attr_source_type_sam, attr_ontological_term_sam) confirm the environmental context. There is no indication of clinical, animal, food, or laboratory association.",2,Environmental
SRR8464381,INSTITUTE FOR RESEARCH IN MOLECULAR MEDICINE (INFORMM),SAMN10780033,Salmonella enterica,PRJNA515970,Malaysia,Asia,Malaysia,581272400,426363092,2019-01-19T02:06:00.000Z,2006,,,,,,,,,,,STY186,blood,,,,,INFORMM,,Homo sapiens,,,6.1254 N 102.2381 E,,,,,,,Typhoid fever,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from human blood (Homo sapiens) and is associated with typhoid fever, indicating it is from a clinical specimen collected from a patient.",1,Clinical
SRR10674515,INSTITUT PASTEUR,SAMN13531493,Salmonella enterica subsp. enterica serovar Anatum,PRJNA594836,France,Europe,France,496354747,225654435,2019-12-12T16:49:00.000Z,2016,,,,,,,,,,,,stools,,enterica,,,Institut Pasteur,,Homo sapiens,,,44.5655 N 4.5346 E,,,,,201602769,,salmonellosis,Anatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from human stools (attr_isolation_source_sam: stools) with the host listed as Homo sapiens and the disease as salmonellosis, indicating a clinical case. The context is consistent with a clinical specimen from a patient.",1,Clinical
SRR29437334,UNIVERSITY OF MARYLAND EASTERN SHORE,SAMN40140396,Salmonella enterica subsp. enterica serovar Infantis,PRJNA1080051,USA,North America,USA: Maryland,530624490,350313120,2024-06-17T15:50:00.000Z,24/03/2019,,,,,,,,,,,,non-organic retail chicken,,enterica,,,Anuradha Punchihewage Don,,,,,38.420904 N 75.563683 W,,,,,36,,,Infantis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Food,High,"The isolation source is 'non-organic retail chicken', which indicates the sample was taken from chicken meat sold in a retail setting. This clearly falls under the 'Food' category as it pertains to a food product intended for human consumption.",3,Food
DRR537459,NATIONAL INSTITUTE OF INFECTIOUS DISEASES,SAMD00755300,Salmonella enterica subsp. enterica,PRJDB17679,uncalculated,uncalculated,missing,384880880,191421273,2024-03-14T15:04:00.000Z,06/10/2004,,,,,,,,,,,,missing,,enterica,,,Daiichi Sankyo,,Homo sapiens,,,missing,,,,,Sal04067,,missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The host is listed as Homo sapiens, indicating the sample was isolated from a human. The involvement of the National Institute of Infectious Diseases and the absence of environmental or food-related context further supports a clinical origin.",1,Clinical
ERR3446819,DEPARTMENT OF MEDICAL GENETICS AT THE UNIVERSITY ANTWERP,SAMEA5697497,Salmonella enterica subsp. enterica serovar Typhimurium,PRJEB2239,,,,1370499704,332340072,2019-07-23T14:50:00.000Z,,2019-07-22T17:04:03Z,2019-06-06T13:49:12Z,SAMEA5697497,,,,SC,2019-07-22T17:04:03Z,2019-06-06T13:49:12Z,public,,,Salmonella enterica subsp. enterica serovar Typhimurium,enterica,70a239c8-8859-11e9-8aef-68b599768938,,,,,,,,,,,,,,,Typhimurium,BioProject40625,Salmonella enterica subsp. enterica serovar Typhimurium,Salmonella enterica subsp. enterica serovar Typhimurium,67STDY7993285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,Medium,"The sample is associated with a Department of Medical Genetics at a university, which suggests a clinical or medical research context. However, there is no explicit mention of the sample being isolated from a human or animal patient, but the institutional context leans toward a clinical origin rather than environmental, food, or animal sources.",1,ND
ERR638356,UBP-CNRS,SAMEA2794697,Salmonella enterica subsp. enterica serovar Enteritidis,PRJEB7205,United Kingdom,Europe,,57893131,32705485,2014-11-07T02:47:00.000Z,01/06/2014,,,,United Kingdom,diseased,Homo sapiens,"University of Birmingham, UK",2014-11-06T17:01:11Z,2014-09-30T13:36:13Z,public,,,,enterica,,,,,,,,,,,,,,,,Enteritidis,,,,,1_907608,ERC000029,No,0,0,UB,Yes,ERS556676,1_907608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clinical,High,"The sample was isolated from a diseased human (Homo sapiens) and the context is consistent with a clinical specimen, as indicated by the host health state ('diseased') and the host scientific name. There is no indication of environmental, food, animal, or laboratory origin.",1,Clinical
